Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration
72,NTA2020,Brooklyn,BK5591,Prospect Park,9,0,15,15,-12,27
73,NTA2020,Brooklyn,BK5691,Barren Island-Floyd Bennett Field,9,37,21,-16,-2,-14
74,NTA2020,Brooklyn,BK5692,Jamaica Bay (West),9,0,0,0,0,0
75,NTA2020,Brooklyn,BK5693,Shirley Chisholm State Park,9,0,0,0,-1,1
76,NTA2020,Bronx,BX0101,Mott Haven-Port Morris,0,"52,413","57,718","5,305","5,515",-210
77,NTA2020,Bronx,BX0102,Melrose,0,"39,214","42,651","3,437","4,444","-1,007"
78,NTA2020,Bronx,BX0201,Hunts Point,0,"15,458","15,131",-327,"1,673","-2,000"
79,NTA2020,Bronx,BX0202,Longwood,0,"37,942","40,289","2,347","4,006","-1,659"
80,NTA2020,Bronx,BX0291,North & South Brother Islands,9,0,0,0,0,0
81,NTA2020,Bronx,BX0301,Morrisania,0,"30,870","37,607","6,737","3,789","2,948"
82,NTA2020,Bronx,BX0302,Claremont Village-Claremont (East),0,"22,174","24,553","2,379","2,703",-324
83,NTA2020,Bronx,BX0303,Crotona Park East,0,"26,143","30,158","4,015","2,877","1,138"
84,NTA2020,Bronx,BX0391,Crotona Park,9,0,34,34,11,23
85,NTA2020,Bronx,BX0401,Concourse-Concourse Village,0,"66,731","69,387","2,656","6,563","-3,907"
86,NTA2020,Bronx,BX0402,Highbridge,0,"30,945","32,456","1,511","3,719","-2,208"
87,NTA2020,Bronx,BX0403,Mount Eden-Claremont (West),0,"48,145","49,651","1,506","6,438","-4,932"
88,NTA2020,Bronx,BX0491,Yankee Stadium-Macombs Dam Park,9,0,19,19,15,4
89,NTA2020,Bronx,BX0492,Claremont Park,9,0,10,10,0,10
90,NTA2020,Bronx,BX0501,University Heights (South)-Morris Heights,0,"52,276","54,682","2,406","5,984","-3,578"
91,NTA2020,Bronx,BX0502,Mount Hope,0,"45,279","49,099","3,820","6,196","-2,376"
92,NTA2020,Bronx,BX0503,Fordham Heights,0,"32,268","32,099",-169,"4,586","-4,755"
93,NTA2020,Bronx,BX0601,West Farms,0,"18,205","20,147","1,942","1,745",197
94,NTA2020,Bronx,BX0602,Tremont,0,"30,493","32,150","1,657","3,154","-1,497"
95,NTA2020,Bronx,BX0603,Belmont,0,"34,650","35,825","1,175","3,544","-2,369"
96,NTA2020,Bronx,BX0701,University Heights (North)-Fordham,0,"44,229","46,538","2,309","3,847","-1,538"
97,NTA2020,Bronx,BX0702,Bedford Park,0,"53,330","55,521","2,191","6,064","-3,873"
98,NTA2020,Bronx,BX0703,Norwood,0,"40,494","43,466","2,972","4,413","-1,441"
99,NTA2020,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,0,"34,844","35,777",933,"2,142","-1,209"
